epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,363.878,1.5326,1.31846,1.48008,0.92584,0.89788,0.94531,0.70048,1.32676,0.80637,1.33464,0.00183094,0.00183094,0.00183094
55,699.554,1.49592,1.21537,1.44831,0.9308,0.91329,0.95221,0.70736,1.33735,0.7655,1.31269,0.00179438,0.00179438,0.00179438
56,1038.95,1.47212,1.20601,1.43025,0.94111,0.90297,0.9499,0.70365,1.33964,0.75935,1.30883,0.00175781,0.00175781,0.00175781
57,1375.94,1.44414,1.16111,1.40801,0.95424,0.90925,0.95364,0.70231,1.34725,0.74892,1.30593,0.00172125,0.00172125,0.00172125
58,1712.86,1.44928,1.15,1.4144,0.94733,0.899,0.9505,0.70957,1.31615,0.73699,1.30922,0.00168468,0.00168468,0.00168468
59,2056.79,1.44002,1.14694,1.41575,0.94755,0.90912,0.95381,0.71458,1.30881,0.72398,1.28921,0.00164812,0.00164812,0.00164812
60,2400.85,1.42992,1.13749,1.40765,0.9469,0.90775,0.95395,0.71117,1.32771,0.72782,1.30123,0.00161155,0.00161155,0.00161155
61,2738.15,1.41814,1.11433,1.40458,0.9516,0.9012,0.95117,0.71587,1.27967,0.71892,1.28685,0.00157499,0.00157499,0.00157499
62,3087.8,1.40945,1.09179,1.38825,0.95301,0.90125,0.95454,0.72504,1.26448,0.70069,1.26843,0.00153842,0.00153842,0.00153842
63,3431.7,1.41053,1.10097,1.39794,0.94559,0.90979,0.95329,0.7197,1.25488,0.69669,1.26838,0.00150186,0.00150186,0.00150186
64,3769.19,1.39437,1.07143,1.37534,0.95256,0.90682,0.95349,0.72594,1.24823,0.69513,1.25307,0.00146529,0.00146529,0.00146529
65,4107.93,1.37251,1.06838,1.36588,0.9377,0.91474,0.95427,0.72553,1.25914,0.69514,1.26198,0.00142873,0.00142873,0.00142873
66,4446.59,1.37446,1.05558,1.37593,0.93926,0.92173,0.95373,0.72427,1.25247,0.68397,1.25984,0.00139216,0.00139216,0.00139216
67,4783.33,1.37414,1.04236,1.36958,0.94976,0.91219,0.95524,0.72826,1.25068,0.67293,1.25697,0.0013556,0.0013556,0.0013556
68,5121.64,1.35874,1.03883,1.36288,0.95281,0.91468,0.95499,0.72966,1.23984,0.67536,1.25724,0.00131903,0.00131903,0.00131903
69,5466.38,1.35723,1.05056,1.36247,0.94571,0.92079,0.95743,0.73141,1.23556,0.67194,1.25411,0.00128247,0.00128247,0.00128247
70,5805.28,1.35541,1.02914,1.35619,0.96238,0.90732,0.95842,0.73746,1.22092,0.66406,1.24593,0.0012459,0.0012459,0.0012459
71,6142.25,1.33888,1.00741,1.35103,0.95537,0.90999,0.95572,0.73433,1.23207,0.66132,1.24651,0.00120934,0.00120934,0.00120934
72,6478.13,1.33018,0.9921,1.35065,0.95249,0.91879,0.95748,0.73629,1.2123,0.65989,1.24158,0.00117277,0.00117277,0.00117277
73,6814.34,1.3177,0.97744,1.3377,0.95332,0.91606,0.9551,0.73968,1.19234,0.65266,1.23787,0.00113621,0.00113621,0.00113621
74,7154.28,1.33976,1.01827,1.35052,0.95768,0.91643,0.95567,0.7404,1.19699,0.64896,1.23233,0.00109964,0.00109964,0.00109964
75,7491.08,1.31101,0.97702,1.34057,0.95116,0.92007,0.95806,0.74262,1.19608,0.6348,1.23692,0.00106308,0.00106308,0.00106308
76,7834.21,1.3067,0.95727,1.32652,0.95632,0.91295,0.95703,0.74038,1.20061,0.64084,1.22947,0.00102651,0.00102651,0.00102651
77,8169.82,1.30511,0.97014,1.32554,0.95658,0.90973,0.9589,0.73975,1.21034,0.64539,1.22824,0.000989945,0.000989945,0.000989945
78,8506.36,1.27835,0.94693,1.31163,0.95691,0.91486,0.95894,0.74273,1.19559,0.63198,1.22095,0.00095338,0.00095338,0.00095338
